,HUNDRED_BLOCK,HUNDRED_BLOCK_GEOCODED
0,#VALUE!,"[-122.7452849, 53.913051]"
1,0 HWY 99,"[-123.264284, 49.3620654]"
2,00 172A ST,"[-122.7452375, 49.0084902]"
3,00 172ND ST,"[-122.7425201, 49.1010433]"
4,00 174TH ST,"[-122.7410826, 49.0456696]"
5,00 176TH ST,"[-122.7338219, 49.2164375]"
6,0B AVE / 173RD ST,"[-122.7439604, 49.0035853]"
7,0TH AVE / 175A ST,"[-122.7372847, 49.0021485]"
8,0TH AVE / 176A ST,"[-122.7311307, 49.002163]"
9,0TH AVE / 176TH ST,"[-128.8741609, 52.941826]"
10,0TH AVE / 184TH ST,"[-122.7137774, 49.0021599]"
11,0TH AVE / 188TH ST,"[-122.7021792, 49.002178]"
12,0TH AVE / 190TH ST,"[-122.6966498, 49.0021889]"
13,0TH AVE / 192ND ST,"[-122.6912063, 49.0021834]"
14,0TH AVE / 194TH ST,"[-122.6848589, 49.0022253]"
15,0TH AVE / PEACE PARK DR,"[-122.7549295, 49.0021611]"
16,100 170TH ST,"[-122.7512552, 49.1151787]"
17,100 171ST ST ,"[-122.7497589, 49.0038457]"
18,100 172A ST ,"[-122.7450034, 49.0041781]"
19,100 172ND ST,"[-122.7462683, 49.0039193]"
20,100 172ND ST ,"[-122.7462683, 49.0039193]"
21,100 172ND ST     ,"[-122.7462683, 49.0039193]"
22,100 173RD ST ,"[-122.743909, 49.0041761]"
23,100 173RD ST     ,"[-122.743909, 49.0041761]"
24,100 176TH ST,"[-122.7351905, 49.0040368]"
25,100 176TH ST ,"[-122.7351905, 49.0040368]"
26,100 176TH ST     ,"[-122.7351905, 49.0040368]"
27,100 184TH ST     ,"[-122.7130658, 49.0032026]"
28,100 194TH ST,"[-122.6847623, 49.0039778]"
29,100 HWY 99,"[-122.7027304, 50.3170728]"
30,100 HWY 99 ,"[-122.7027304, 50.3170728]"
31,100 HWY 99     ,"[-122.7027304, 50.3170728]"
32,1000 160A ST,"[-122.7774036, 49.0202069]"
33,1000 160TH ST,"[-122.7792319, 49.0310673]"
34,1000 161A ST,"[-122.7757054, 49.0210643]"
35,1000 161A ST     ,"[-122.7757054, 49.0210643]"
36,1000 163RD ST,"[-122.7710604, 49.020188]"
37,1000 165TH ST,"[-122.7655107, 49.0203222]"
38,1000 176TH ST,"[-122.735172, 49.0202061]"
39,1000 GUILDFORD TOWN CNTR,"[-122.8024067, 49.1887304]"
40,1000 GUILDFORD TOWN CNTR    ,"[-122.8024067, 49.1887304]"
41,1000 GUILDFORD TOWN CTR,"[-122.8024067, 49.1887304]"
42,1000 GUILDFORD TOWN CTR    ,"[-122.8024067, 49.1887304]"
43,1000 KING GEORGE BLVD,"[-122.7622317, 49.0203057]"
44,1000 KING GEORGE BLVD    ,"[-122.7622317, 49.0203057]"
45,10000  120TH ST,"[-122.8900855, 49.1843869]"
46,10000  129TH ST,"[-122.8645652, 49.1844326]"
47,10000  132A ST,"[-122.8552362, 49.1843768]"
48,10000  176TH ST,"[-122.7343931, 49.1840435]"
49,10000  SCOTT RD,"[-122.890477, 49.1840556]"
50,10000 117TH ST,"[-122.8987275, 49.1845542]"
51,10000 117TH ST ,"[-122.8987275, 49.1845542]"
52,10000 117TH ST     ,"[-122.8987275, 49.1845542]"
53,10000 120A ST,"[-122.8879841, 49.1852377]"
54,10000 120A ST ,"[-122.8879841, 49.1852377]"
55,10000 120TH ST,"[-122.8900855, 49.1843869]"
56,10000 120TH ST ,"[-122.8900855, 49.1843869]"
57,10000 120TH ST     ,"[-122.8900855, 49.1843869]"
58,10000 121A ST,"[-122.8859426, 49.1856756]"
59,10000 121ST ST,"[-122.8873209, 49.1843201]"
60,10000 121ST ST ,"[-122.8873209, 49.1843201]"
61,10000 121ST ST     ,"[-122.8873209, 49.1843201]"
62,10000 122ND ST ,"[-122.8839316, 49.1844103]"
63,10000 122ND ST     ,"[-122.8839316, 49.1844103]"
64,10000 123A ST,"[-122.8808209, 49.1844275]"
65,10000 123A ST ,"[-122.8808209, 49.1844275]"
66,10000 123A ST     ,"[-122.8808209, 49.1844275]"
67,10000 127A ST,"[-122.8698896, 49.1844578]"
68,10000 127A ST ,"[-122.8698896, 49.1844578]"
69,10000 127A ST     ,"[-122.8698896, 49.1844578]"
70,10000 127B ST,"[-122.8687897, 49.186786]"
71,10000 127B ST ,"[-122.8687897, 49.186786]"
72,10000 127B ST     ,"[-122.8687897, 49.186786]"
73,10000 127TH ST,"[-122.8714271, 49.1844791]"
74,10000 127TH ST ,"[-122.8714271, 49.1844791]"
75,10000 127TH ST     ,"[-122.8714271, 49.1844791]"
76,10000 128A ST,"[-122.866266, 49.1807884]"
77,10000 128A ST ,"[-122.866266, 49.1807884]"
78,10000 128A ST     ,"[-122.866266, 49.1807884]"
79,10000 128TH ST,"[-122.86764, 49.1843681]"
80,10000 128TH ST ,"[-122.86764, 49.1843681]"
81,10000 128TH ST     ,"[-122.86764, 49.1843681]"
82,10000 129A ST,"[-122.8635806, 49.1837161]"
83,10000 129A ST ,"[-122.8635806, 49.1837161]"
84,10000 129A ST     ,"[-122.8635806, 49.1837161]"
85,10000 129TH ST,"[-122.8645652, 49.1844326]"
86,10000 129TH ST ,"[-122.8645652, 49.1844326]"
87,10000 129TH ST     ,"[-122.8645652, 49.1844326]"
88,10000 130TH ST ,"[-122.8617974, 49.1854518]"
89,10000 132A ST,"[-122.8552362, 49.1843768]"
90,10000 132A ST ,"[-122.8552362, 49.1843768]"
91,10000 132A ST     ,"[-122.8552362, 49.1843768]"
92,10000 132ND ST,"[-122.8564936, 49.1845692]"
93,10000 132ND ST ,"[-122.8564936, 49.1845692]"
94,10000 132ND ST     ,"[-122.8564936, 49.1845692]"
95,10000 133RD ST,"[-122.8539748, 49.1856738]"
96,10000 133RD ST ,"[-122.8539748, 49.1856738]"
97,10000 137A ST,"[-122.8416852, 49.1843011]"
98,10000 137A ST ,"[-122.8416852, 49.1843011]"
99,10000 137A ST     ,"[-122.8416852, 49.1843011]"
100,10000 140TH ST,"[-122.8341576, 49.1851042]"
101,10000 140TH ST ,"[-122.8341576, 49.1851042]"
102,10000 140TH ST     ,"[-122.8341576, 49.1851042]"
103,10000 141ST ST,"[-122.8313422, 49.185018]"
104,10000 141ST ST ,"[-122.8313422, 49.185018]"
105,10000 141ST ST     ,"[-122.8313422, 49.185018]"
106,10000 142ND ST,"[-122.8285915, 49.1851618]"
107,10000 142ND ST ,"[-122.8285915, 49.1851618]"
108,10000 143A ST,"[-122.8243577, 49.1842484]"
109,10000 143A ST ,"[-122.8243577, 49.1842484]"
