,CRIME_TYPE,HUNDRED_BLOCK,MONTH,YEAR
0,Theft of Motor Vehicle,17700 64TH AVE     ,1,2014
1,Theft from Motor Vehicle,8100 128TH ST     ,1,2014
2,Fatal/Injury Collision,9700 134TH ST     ,1,2014
3,Fatal/Injury Collision,2400 140TH ST     ,1,2014
4,Break and Enter - Business,15900 108TH AVE     ,1,2014
5,Theft of Motor Vehicle,13600 67TH AVE     ,1,2014
6,Fatal/Injury Collision,12500 82ND AVE     ,1,2014
7,Shoplifting,12800 KING GEORGE BLVD    ,1,2014
8,Fatal/Injury Collision,3100 KING GEORGE BLVD    ,1,2014
9,Break and Enter - Business,16900 64TH AVE     ,1,2014
10,Fatal/Injury Collision,3000 184TH ST     ,1,2014
11,Break and Enter - Residence,10700 UNIVERSITY DR     ,1,2014
12,Theft from Motor Vehicle,14600 73RD AVE     ,1,2014
13,Theft from Motor Vehicle,16000 95A AVE     ,1,2014
14,Theft from Motor Vehicle,19400 LANGLEY BPS     ,1,2014
15,Fatal/Injury Collision,12300 104TH AVE     ,1,2014
16,Theft of Motor Vehicle,12100 72ND AVE     ,1,2014
17,Break and Enter - Business,13000 HUNTLEY AVE     ,1,2014
18,Theft from Motor Vehicle,12900 98A AVE     ,1,2014
19,Break and Enter - Business,7600 122ND ST     ,1,2014
20,Theft of Motor Vehicle,9400 128TH ST     ,1,2014
21,Theft from Motor Vehicle,9000 162ND ST     ,1,2014
22,Theft from Motor Vehicle,17700 60TH AVE     ,1,2014
23,Fatal/Injury Collision,13500 60TH AVE     ,1,2014
24,Theft from Motor Vehicle,8900 146A ST     ,1,2014
25,Break and Enter - Business,14800 SPENSER DR     ,1,2014
26,Break and Enter - Business,5800 184TH ST     ,1,2014
27,Break and Enter - Residence,17900 55TH AVE     ,1,2014
28,Theft of Motor Vehicle,13300 108TH AVE     ,1,2014
29,Break and Enter - Business,12100 75A AVE     ,1,2014
30,Break and Enter - Business,14700 64TH AVE     ,1,2014
31,Break and Enter - Business,15900 FRASER HWY     ,1,2014
32,Theft from Motor Vehicle,15600 80TH AVE     ,1,2014
33,Theft from Motor Vehicle,8800 139A ST     ,1,2014
34,Theft of Motor Vehicle,9400 131A ST     ,1,2014
35,Break and Enter - Residence,14000 110TH AVE     ,1,2014
36,Theft of Motor Vehicle,14100 104TH AVE     ,1,2014
37,Theft of Motor Vehicle,15900 88A AVE     ,1,2014
38,Shoplifting,9500 132ND ST     ,1,2014
39,Theft of Motor Vehicle,13700 23A AVE     ,1,2014
40,Theft from Motor Vehicle,15000 101ST AVE     ,1,2014
41,Break and Enter - Business,9300 126TH ST     ,1,2014
42,Break and Enter - Business,12800 96TH AVE     ,1,2014
43,Theft from Motor Vehicle,14300 109TH AVE     ,1,2014
44,Theft from Motor Vehicle,13800 104TH AVE     ,1,2014
45,Break and Enter - Business,7000 188TH ST     ,1,2014
46,Theft from Motor Vehicle,14500 76A AVE     ,1,2014
47,Break and Enter - Residence,13000 65B AVE     ,1,2014
48,Break and Enter - Business,7700 128TH ST     ,1,2014
49,Theft from Motor Vehicle,8800 159A ST     ,1,2014
50,Theft from Motor Vehicle,12900 73B AVE     ,1,2014
51,Theft of Motor Vehicle,16100 83RD AVE     ,1,2014
52,Break and Enter - Residence,15000 34A AVE     ,1,2014
53,Theft from Motor Vehicle,15000 34A AVE     ,1,2014
54,Theft of Motor Vehicle,13500 18TH AVE     ,1,2014
55,Shoplifting,13500 88TH AVE     ,1,2014
56,Theft from Motor Vehicle,8700 158TH ST     ,1,2014
57,Break and Enter - Residence,17900 55TH AVE     ,1,2014
58,Fatal/Injury Collision,10000 137A ST     ,1,2014
59,Theft of Motor Vehicle,14300 72A AVE     ,1,2014
60,Shoplifting,8000 KING GEORGE BLVD    ,1,2014
61,Theft of Motor Vehicle,13100 98A AVE     ,1,2014
62,Break and Enter - Business,15100 100TH AVE     ,1,2014
63,Shoplifting,15300 24TH AVE     ,1,2014
64,Theft of Motor Vehicle,9300 149A ST     ,1,2014
65,Theft from Motor Vehicle,9400 162A ST     ,1,2014
66,Theft of Motor Vehicle,17400 64A AVE     ,1,2014
67,Theft from Motor Vehicle,6500 CLAYTONWOOD PL     ,1,2014
68,Break and Enter - Business,12600 72ND AVE     ,1,2014
69,Break and Enter - Business,10000 152ND ST     ,1,2014
70,Theft of Motor Vehicle,14300 109TH AVE     ,1,2014
71,Theft from Motor Vehicle,14900 76A AVE     ,1,2014
72,Break and Enter - Business,8300 130TH ST     ,1,2014
73,Theft of Motor Vehicle,14500 76TH AVE     ,1,2014
74,Theft of Motor Vehicle,14500 91ST AVE     ,1,2014
75,Break and Enter - Business,13700 96TH AVE     ,1,2014
76,Theft of Motor Vehicle,15500 48TH AVE     ,1,2014
77,Theft from Motor Vehicle,17000 57TH AVE     ,1,2014
78,Theft from Motor Vehicle,3500 ROSEMARY HEIGHTS CRES    ,1,2014
79,Theft of Motor Vehicle,16100 83RD AVE     ,1,2014
80,Break and Enter - Business,15100 101ST AVE     ,1,2014
81,Break and Enter - Business,15900 FRASER HWY     ,1,2014
82,Theft from Motor Vehicle,15300 85A AVE     ,1,2014
83,Theft from Motor Vehicle,6400 130TH ST     ,1,2014
84,Theft from Motor Vehicle,6200 180A ST     ,1,2014
85,Break and Enter - Business,8200 146TH ST     ,1,2014
86,Break and Enter - Business,15600 FRASER HWY     ,1,2014
87,Break and Enter - Residence,17600 64TH AVE     ,1,2014
88,Break and Enter - Residence,8200 KING GEORGE BLVD    ,1,2014
89,Theft of Motor Vehicle,17300 3RD AVE     ,1,2014
90,Break and Enter - Residence,5800 137B ST     ,1,2014
91,Break and Enter - Business,8000 120TH ST     ,1,2014
92,Break and Enter - Business,9300 126TH ST     ,1,2014
93,Theft from Motor Vehicle,14400 108TH AVE     ,1,2014
94,Theft from Motor Vehicle,12300 77A AVE     ,1,2014
95,Theft from Motor Vehicle,14600 73A AVE     ,1,2014
96,Break and Enter - Business,10700 KING GEORGE BLVD    ,1,2014
97,Theft from Motor Vehicle,9100 154TH ST     ,1,2014
98,Theft of Motor Vehicle,9800 140TH ST     ,1,2014
99,Theft from Motor Vehicle,13300 98TH AVE     ,1,2014
100,Break and Enter - Business,8100 120TH ST     ,1,2014
101,Break and Enter - Business,3000 KING GEORGE BLVD    ,1,2014
102,Theft of Motor Vehicle,9800 130TH ST     ,1,2014
103,Fatal/Injury Collision,19300 73RD AVE     ,1,2014
104,Break and Enter - Business,13200 OLD YALE RD    ,1,2014
105,Theft from Motor Vehicle,8100 156A ST     ,1,2014
106,Theft of Motor Vehicle,9300 122ND ST     ,1,2014
107,Theft from Motor Vehicle,13300 KING GEORGE BLVD    ,1,2014
108,Break and Enter - Business,3000 152ND ST     ,1,2014
109,Theft of Motor Vehicle,13600 BENTLEY RD     ,1,2014
110,Theft from Motor Vehicle,8000 138TH ST     ,1,2014
111,Theft of Motor Vehicle,15700 CROYDON DR     ,1,2014
112,Theft from Motor Vehicle,19000 57TH AVE     ,1,2014
113,Theft from Motor Vehicle,15600 81A AVE     ,1,2014
114,Theft from Motor Vehicle,6500 141B ST     ,1,2014
115,Fatal/Injury Collision,13500 108TH AVE     ,1,2014
116,Fatal/Injury Collision,13500 108TH AVE     ,1,2014
117,Theft from Motor Vehicle,10800 CITY PKWY     ,1,2014
118,Theft of Motor Vehicle,12200 102A AVE     ,1,2014
119,Theft from Motor Vehicle,9500 128TH ST     ,1,2014
120,Break and Enter - Business,12100 92ND AVE     ,1,2014
121,Theft of Motor Vehicle,12500 PINEWOOD CRES     ,1,2014
122,Break and Enter - Business,8500 120TH ST     ,1,2014
123,Break and Enter - Residence,6900 130TH ST     ,1,2014
124,Break and Enter - Business,10200 CITY PKWY     ,1,2014
125,Break and Enter - Business,15300 24TH AVE     ,1,2014
126,Break and Enter - Business,8200 124TH ST     ,1,2014
127,Theft from Motor Vehicle,8900 QUEEN MARY BLVD    ,1,2014
128,Theft from Motor Vehicle,7200 150A ST     ,1,2014
129,Theft from Motor Vehicle,6200 171ST ST     ,1,2014
130,Theft of Motor Vehicle,10600 142ND ST     ,1,2014
131,Theft of Motor Vehicle,13000 14A AVE     ,1,2014
132,Theft from Motor Vehicle,8400 160TH ST     ,1,2014
133,Theft from Motor Vehicle,6000 165A ST     ,1,2014
134,Shoplifting,8800 126TH ST     ,1,2014
135,Theft from Motor Vehicle,9600 KING GEORGE BLVD    ,1,2014
